nationality,adjusted_refusal_rate,fiscal_year
Afghanistan,48.89,2024
Albania,33.37,2024
Algeria,50.72,2024
Andorra,28.57,2024
Angola,49.36,2024
Antigua And Barbuda,26.74,2024
Argentina,8.9,2024
Armenia,59.46,2024
Australia,20.67,2024
Austria,9.94,2024
Azerbaijan,21.46,2024
"Bahamas, The",12.81,2024
Bahrain,17.83,2024
Bangladesh,46.09,2024
Barbados,10.81,2024
Belarus,28.79,2024
Belgium,11.65,2024
Belize,29.48,2024
Benin,61.49,2024
Bhutan,49.46,2024
Bolivia,28.93,2024
Bosnia-Herzegovina,11.64,2024
Botswana,32.44,2024
Brazil,15.48,2024
Brunei,4.0,2024
Bulgaria,6.02,2024
Burkina Faso,58.03,2024
Burma,62.58,2024
Burundi,65.52,2024
Cabo Verde,52.02,2024
Cambodia,28.32,2024
Cameroon,55.57,2024
Canada,56.35,2024
Central African Republic,48.46,2024
Chad,58.6,2024
Chile,20.15,2024
China,25.37,2024
Colombia,24.7,2024
Comoros,25.42,2024
"Congo, Democratic Republic Of The",46.77,2024
"Congo, Republic Of The",48.78,2024
Costa Rica,12.66,2024
Cote D`Ivoire,30.08,2024
Croatia,11.56,2024
Cuba,53.35,2024
Cyprus,2.16,2024
Czech Republic,7.96,2024
Denmark,9.25,2024
Djibouti,64.71,2024
Dominica,35.41,2024
Dominican Republic,43.38,2024
Ecuador,36.99,2024
Egypt,39.77,2024
El Salvador,52.65,2024
Equatorial Guinea,55.07,2024
Eritrea,49.94,2024
Estonia,9.79,2024
Eswatini,38.44,2024
Ethiopia,51.17,2024
Federated States Of Micronesia,0.0,2024
Fiji,35.25,2024
Finland,14.49,2024
France,8.5,2024
Gabon,27.76,2024
"Gambia, The",66.03,2024
Georgia,41.44,2024
Germany,10.02,2024
Ghana,55.59,2024
Great Britain And Northern Ireland,18.03,2024
Greece,10.16,2024
Grenada,33.13,2024
Guatemala,30.84,2024
Guinea,70.25,2024
Guinea - Bissau,76.59,2024
Guyana,34.25,2024
Haiti,47.35,2024
Honduras,42.61,2024
Hong Kong S. A. R.,6.16,2024
Hungary,5.93,2024
Iceland,5.8,2024
India,16.32,2024
Indonesia,20.09,2024
Iran,55.54,2024
Iraq,33.44,2024
Ireland,22.19,2024
Israel,8.64,2024
Italy,10.89,2024
Jamaica,43.67,2024
Japan,5.76,2024
Jordan,45.86,2024
Kazakhstan,46.29,2024
Kenya,63.32,2024
Kiribati,10.81,2024
"Korea, North",0.0,2024
"Korea, South",14.97,2024
Kosovo,36.52,2024
Kuwait,5.5,2024
Kyrgyzstan,39.14,2024
Laos,82.84,2024
Latvia,7.67,2024
Lebanon,35.03,2024
Lesotho,29.57,2024
Liberia,79.38,2024
Libya,24.64,2024
Liechtenstein,0.0,2024
Lithuania,21.04,2024
Luxembourg,10.86,2024
Macau S.A.R.,9.85,2024
Madagascar,13.12,2024
Malawi,47.78,2024
Malaysia,6.79,2024
Maldives,25.82,2024
Mali,60.9,2024
Malta,12.43,2024
"Marshall Islands, Republic Of The",63.16,2024
Mauritania,70.07,2024
Mauritius,6.27,2024
Mexico,13.87,2024
Moldova,46.99,2024
Monaco,0.0,2024
Mongolia,39.36,2024
Montenegro,36.48,2024
Morocco,14.45,2024
Mozambique,34.75,2024
Namibia,21.95,2024
Nauru,0.0,2024
Nepal,49.47,2024
Netherlands,14.79,2024
New Zealand,22.79,2024
Nicaragua,58.71,2024
Niger,38.18,2024
Nigeria,46.51,2024
*Non-Nationality Based Issuances,41.41,2024
North Macedonia,28.0,2024
Norway,19.44,2024
Oman,4.5,2024
Pakistan,45.65,2024
Palau,63.64,2024
Palestinian Authority Travel Document,44.51,2024
Panama,19.93,2024
Papua New Guinea,3.85,2024
Paraguay,18.09,2024
Peru,21.3,2024
Philippines,28.33,2024
Poland,10.99,2024
Portugal,7.91,2024
Qatar,4.67,2024
Romania,2.61,2024
Russia,38.56,2024
Rwanda,55.76,2024
Samoa,45.75,2024
San Marino,9.09,2024
Sao Tome And Principe,50.0,2024
Saudi Arabia,7.89,2024
Senegal,74.65,2024
Serbia,17.77,2024
Seychelles,7.59,2024
Sierra Leone,69.36,2024
Singapore,10.4,2024
Slovakia,11.58,2024
Slovenia,12.42,2024
Solomon Islands,5.0,2024
Somalia,77.02,2024
South Africa,10.65,2024
South Sudan,60.35,2024
Spain,16.39,2024
Sri Lanka,29.76,2024
St Lucia,26.82,2024
St. Kitts And Nevis,26.64,2024
St. Vincent And The Grenadines,26.64,2024
Sudan,54.59,2024
Suriname,13.63,2024
Sweden,21.46,2024
Switzerland,5.39,2024
Syria,45.84,2024
Taiwan,5.22,2024
Tajikistan,45.24,2024
Tanzania,36.69,2024
Thailand,22.5,2024
Timor-Leste,6.25,2024
Togo,66.6,2024
Tonga,47.33,2024
Trinidad And Tobago,18.18,2024
Tunisia,23.21,2024
Turkey,19.78,2024
Turkmenistan,58.8,2024
Tuvalu,8.33,2024
Uganda,47.29,2024
Ukraine,33.45,2024
United Arab Emirates,1.46,2024
Uruguay,2.63,2024
Uzbekistan,64.41,2024
Vanuatu,46.23,2024
Vatican City,0.0,2024
Venezuela,37.4,2024
Vietnam,22.12,2024
Yemen,58.07,2024
Zambia,44.97,2024
Zimbabwe,39.47,2024
