visa_category,issued,refused,total_applications,refusal_rate,fiscal_year
A1,9469,405,9874,4.1,2024
A2,96693,4287,100980,4.25,2024
A3,884,93,977,9.52,2024
B1,31544,8487,40031,21.2,2024
B1/B2,6498006,2497104,8995108,27.76,2024
B2,12072,9505,21577,44.05,2024
BBBCC,1871765,309450,2181216,14.19,2024
BBBCV,39987,7364,47352,15.55,2024
C1,11451,4952,16403,30.19,2024
C1/D,324098,10606,334704,3.17,2024
C2,364,1779,2143,83.01,2024
C3,3746,78,3824,2.04,2024
C4,1,0,1,0.0,2024
C4/D3,4,0,4,0.0,2024
CW1,2517,164,2681,6.12,2024
CW2,651,43,694,6.2,2024
D,6342,275,6617,4.16,2024
E1,5639,502,6141,8.17,2024
E2,55324,6108,61432,9.94,2024
E2C,28,5,33,15.15,2024
E3,3933,96,4029,2.38,2024
E3D,3574,66,3640,1.81,2024
E3R,3100,23,3123,0.74,2024
F1,400737,278553,679290,41.01,2024
F2,24055,22912,46967,48.78,2024
G1,4786,389,5175,7.52,2024
G2,16553,1572,18125,8.67,2024
G3,422,31,453,6.84,2024
G4,22365,649,23014,2.82,2024
G5,236,66,302,21.85,2024
H1B,219659,6298,225957,2.79,2024
H1B1,3070,218,3288,6.63,2024
H1C,0,11,11,100.0,2024
H2A,315328,12800,328128,3.9,2024
H2B,139541,6072,145613,4.17,2024
H3,924,135,1059,12.75,2024
H4,139874,4932,144806,3.41,2024
I,12924,1650,14574,11.32,2024
J1,322820,39747,362567,10.96,2024
J2,32512,3050,35562,8.58,2024
K1,47579,6130,53709,11.41,2024
K2,7306,145,7451,1.95,2024
K3,3,2,5,40.0,2024
L1,71799,2914,74713,3.9,2024
L2,73317,1931,75248,2.57,2024
M1,6322,2237,8559,26.14,2024
M2,169,114,283,40.28,2024
N8,10,8,18,44.44,2024
N9,0,3,3,100.0,2024
NATO1,28,0,28,0.0,2024
NATO2,8630,58,8688,0.67,2024
NATO3,3,0,3,0.0,2024
NATO4,333,2,335,0.6,2024
NATO5,70,0,70,0.0,2024
NATO6,1914,9,1923,0.47,2024
NATO7,1,0,1,0.0,2024
O1,19457,1212,20669,5.86,2024
O2,13922,781,14703,5.31,2024
O3,6035,692,6727,10.29,2024
P1,24494,1325,25819,5.13,2024
P2,79,9,88,10.23,2024
P3,10213,2016,12229,16.49,2024
P4,1886,252,2138,11.79,2024
Q1,1781,101,1882,5.37,2024
R1,5186,1250,6436,19.42,2024
R2,2709,813,3522,23.08,2024
S5,0,1,1,100.0,2024
S7,0,3,3,100.0,2024
T2,72,8,80,10.0,2024
T3,291,21,312,6.73,2024
T4,56,10,66,15.15,2024
T5,36,6,42,14.29,2024
T6,24,1,25,4.0,2024
TD,12199,1569,13768,11.4,2024
TN,15672,11645,27317,42.63,2024
U1,155,83,238,34.87,2024
U2,148,43,191,22.51,2024
U3,999,152,1151,13.21,2024
U4,23,9,32,28.12,2024
U5,17,1,18,5.56,2024
Grand Total,10969936,3276033,14245969,23.0,2024
