ina_section,description,iv_finding,iv_overcome,niv_finding,niv_overcome,fiscal_year
101(a)(27)(D)(i) Unqualified,Special Immigrant,83,0,0,0,2024
203(c) Failure,to fulfill education and work experience requirement for Diversity Visa,1842,52,0,0,2024
204(a)(1)(I) Failure,to comply with Diversity Visa requirements/regulations,1379,45,0,0,2024
208(d)(6) Knowingly,made frivolous application for asylum,1,0,1,0,2024
212(a)(1)(A)(i) Communicable,Disease,191,228,12,4,2024
212(a)(1)(A)(ii) Immigrant,lacking required vaccinations,547,276,0,0,2024
212(a)(1)(A)(iii) Physical,or mental disorder,624,387,260,21,2024
212(a)(1)(A)(iv) Drug,Abuser or Addict,1771,1092,314,51,2024
212(a)(2)(A)(i)(I) Crime,Involving Moral Turpitude,1861,211,8175,2476,2024
212(a)(2)(A)(i)(II) Controlled,Substance Violators,645,37,5498,2014,2024
212(a)(2)(B) Multiple,Criminal Convictions,192,4,500,101,2024
212(a)(2)(C)(i) Illicit,Trafficker in Any Controlled Substance,525,3,3705,665,2024
"212(a)(2)(C)(ii) Spouse,","Son, or Daughter Who Benefited from Illicit Activities of Trafficker",35,6,813,26,2024
212(a)(2)(D)(i) Prostitution,(within 10 years),13,1,226,16,2024
212(a)(2)(D)(ii) Procuring,(within 10 years),1,0,21,0,2024
212(a)(2)(D)(iii) Unlawful,Commercialized Vice,3,0,5,0,2024
212(a)(2)(E) Asserted,immunity to avoid prosecution,0,0,1,1,2024
212(a)(2)(G) Foreign,government officials who have engaged in violations of religious freedom,1,0,0,0,2024
212(a)(2)(H) Significant,traffickers in persons,1,0,9,2,2024
212(a)(2)(I) Money,Laundering,5,0,51,18,2024
"212(a)(3)(A)(i) Espionage,","sabotage, technology transfer, etc.",3,0,136,18,2024
212(a)(3)(A)(ii) Other,Unlawful Activity,37,0,105,5,2024
212(a)(3)(A)(iii) Act,to Overthrow U.S. Government,0,0,0,0,2024
212(a)(3)(B) Terrorist,Activities,155,0,629,317,2024
212(a)(3)(C) Foreign,Policy,0,0,6,1,2024
212(a)(3)(D) Immigrant,Membership in Totalitarian Party,134,11,0,0,2024
212(a)(3)(E)(i) Participants,in Nazi Persecutions,0,0,0,0,2024
212(a)(3)(E)(ii) Participants,in Genocide,1,0,0,0,2024
212(a)(3)(E)(iii) Commission,of Acts of Torture or Extrajudicial Killings,1,0,2,0,2024
212(a)(3)(F) Association,with Terrorist Organizations,0,0,0,0,2024
212(a)(3)(G) Recruitment,or Use of Child Soldiers,0,0,1,0,2024
212(a)(4) Public,Charge,1008,846,74,30,2024
212(a)(5)(A) Labor,Certification (immigrants only),252,194,0,0,2024
212(a)(5)(B) Unqualified,Physician (immigrants only),5,0,0,0,2024
212(a)(5)(C) Uncertified,foreign health-care workers,2,0,0,0,2024
212(a)(6)(B) Failure,to attend removal proceedings,57,30,12,2,2024
212(a)(6)(C)(i),Misrepresentation,6422,1026,17726,4047,2024
212(a)(6)(C)(ii) Falsely,claiming citizenship,424,0,1538,405,2024
212(a)(6)(E) Smugglers,of aliens,4285,929,4670,816,2024
212(a)(6)(F) Subject,of civil penalty (under INA 274C),2,0,2,0,2024
212(a)(6)(G) Student,visa abusers,0,0,0,0,2024
212(a)(7)(B) Documentation,requirement for nonimmigrants,0,0,318,281,2024
