fiscal_year,country,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-2R,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Total Visas,BCC,Grand Total,U-5,E-2C,CW-1,CW-2,T-6,C-4,C-4/D-3
1997,Afghanistan,0,1,1,46,361,1451,0,0,17,0,0,0,0,0,0,0,0,0,0,13,3,0,3,6,4,14,1,0,3,0,0,0,1,0,0,4,0,8,3,58,0,0,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2029,256,2285,0,0,0,0,0,0,0
1997,Albania,17,105,2,15,1515,323,1,0,13,1,0,0,1,0,0,0,0,0,0,191,13,0,13,7,0,5,0,0,13,0,0,0,9,0,0,18,13,210,20,29,0,0,0,4,4,2,0,0,0,1,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2558,58,2616,0,0,0,0,0,0,0
1997,Algeria,62,23,5,1661,507,3430,0,0,57,8,0,0,12,0,0,0,0,0,0,114,6,0,39,54,0,126,2,0,52,0,0,0,0,0,4,32,8,84,24,14,0,0,0,9,29,12,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6386,492,6878,0,0,0,0,0,0,0
1997,Andorra,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,0,0,0,0,0,0,0
1997,Angola,54,169,3,10,1421,271,1,0,10,12,0,19,14,0,0,0,0,0,0,222,17,0,41,57,1,19,0,0,0,0,0,0,0,0,0,0,4,10,4,1,0,0,0,8,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2397,4,2401,0,0,0,0,0,0,0
1997,Antigua and Barbuda,2,54,0,6,1902,1161,0,0,3,11,0,0,4,0,0,0,0,0,0,111,5,0,1,0,0,2,1,0,7,0,0,0,11,0,0,0,0,12,0,1,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3304,0,3304,0,0,0,0,0,0,0
1997,Argentina,142,1473,22,68,1206,219,32,0,12,393,0,102,106,0,64,69,0,0,0,3040,212,0,48,74,0,197,15,0,535,0,0,0,6,0,16,329,51,1233,358,15,1,0,0,262,386,28,0,0,0,0,0,0,0,0,0,0,0,40,6,17,310,3,8,19,1,0,0,77,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11208,18,11226,0,0,0,0,0,0,0
1997,Armenia,39,33,0,689,169,3667,0,0,50,1,0,0,0,0,0,0,0,0,0,67,6,0,9,41,0,20,0,0,47,0,0,0,0,0,0,87,6,266,52,7,1,0,0,10,27,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20,0,38,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5358,39,5397,0,0,0,0,0,0,0
1997,Australia,98,2508,3,82,10195,479,0,0,21,1329,0,29,19,0,30,182,0,0,0,1068,46,0,25,20,0,146,1,2,1436,0,0,54,198,0,32,862,236,4276,540,131,6,0,0,1067,1147,62,12,0,0,3,0,0,0,0,0,1,0,162,23,41,228,0,19,22,7,0,0,96,24,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,26973,0,26973,0,0,0,0,0,0,0
1997,Austria,39,153,3,99,804,1385,83,0,3,1159,0,2,8,0,69,82,0,0,0,1023,19,0,8,31,1,66,3,0,220,0,0,0,61,0,16,84,112,1613,113,22,1,0,0,216,143,75,4,0,0,1,0,0,0,0,0,0,0,61,1,7,345,0,29,0,1,0,0,16,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8187,16,8203,0,0,0,0,0,0,0
