region,issuing_office,iv_issued,niv_issued,border_crossing_cards,is_total,fiscal_year
,Department of State - Visa Office,0,9751,0,False,2024
,U.S. - Domestic Renewal Pilot Program2,0,6036,0,False,2024
,U.S. Mission to the United Nations,0,4979,0,False,2024
Africa,"Angola, Luanda",282,5812,0,False,2024
Africa,"Benin, Cotonou",937,2550,0,False,2024
Africa,"Botswana, Gaborone",0,2383,0,False,2024
Africa,"Burkina Faso, Ouagadougou",372,2624,0,False,2024
Africa,"Burundi, Bujumbura",0,1228,0,False,2024
Africa,"Cabo Verde, Praia",2153,3825,0,False,2024
Africa,"Cameroon, Yaounde",5207,9014,0,False,2024
Africa,"Chad, N'Djamena",0,1192,0,False,2024
Africa,"Congo, Dem. Rep. of the, Kinshasa",1435,9486,0,False,2024
Africa,"Congo, Rep. of the, Brazzaville",77,2531,0,False,2024
Africa,"Cote d'Ivoire, Abidjan",1284,9905,0,False,2024
Africa,"Djibouti, Djibouti",5541,500,0,False,2024
Africa,"Equatorial Guinea, Malabo",0,1035,0,False,2024
Africa,"Eritrea, Asmara",19,472,0,False,2024
Africa,"Eswatini, Mbabane",0,2508,0,False,2024
Africa,"Ethiopia, Addis Ababa",8739,23270,0,False,2024
Africa,"Gabon, Libreville",90,1947,0,False,2024
Africa,"Gambia, The, Banjul",0,1387,0,False,2024
Africa,"Ghana, Accra",6265,26432,0,False,2024
Africa,"Guinea, Conakry",0,1883,0,False,2024
Africa,"Kenya, Nairobi",9753,22164,0,False,2024
Africa,"Lesotho, Maseru",0,170,0,False,2024
Africa,"Liberia, Monrovia",2452,2128,0,False,2024
Africa,"Madagascar, Antananarivo",51,3145,0,False,2024
Africa,"Malawi, Lilongwe",80,3006,0,False,2024
Africa,"Mali, Bamako",0,2477,0,False,2024
Africa,"Mauritania, Nouakchott",0,778,0,False,2024
Africa,"Mauritius, Port Louis",0,3999,0,False,2024
Africa,"Mozambique, Maputo",0,2427,0,False,2024
Africa,"Namibia, Windhoek",0,2336,0,False,2024
Africa,"Niger, Niamey",151,979,0,False,2024
Africa,"Nigeria, Abuja",0,30222,0,False,2024
Africa,Lagos,7308,33091,0,False,2024
Africa,"Rwanda, Kigali",1415,4094,0,False,2024
Africa,"Senegal, Dakar",3283,6281,0,False,2024
Africa,"Sierra Leone, Freetown",1954,3000,0,False,2024
Africa,"South Africa, Cape Town",0,27193,0,False,2024
